rdIndex,pepper,egg,water,salt,oil,soy sauce,onion,sugar,cream,flour,pork,beef,fish,chicken,sheep,lamb,meat
206,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
207,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
208,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
209,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
210,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
211,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
212,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
213,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
214,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
215,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
216,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
217,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
220,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
221,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
222,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1
223,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
224,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
225,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
226,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
227,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
228,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
229,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
230,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
231,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
232,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
233,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
234,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
235,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
236,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
237,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
238,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
240,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
241,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
243,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
244,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
245,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
246,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1
247,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
248,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
249,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1
251,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
252,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
253,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
254,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
255,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
256,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
257,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
258,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
261,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
262,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
263,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
264,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
265,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
266,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
267,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
268,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
269,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
270,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
271,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
272,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
273,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
274,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
276,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
277,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
278,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
279,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
280,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
281,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
282,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
283,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
284,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
285,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
288,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
289,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
290,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
291,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
292,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
293,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
294,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
296,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
297,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
298,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
299,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
301,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
302,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
303,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
305,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
306,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
307,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
308,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
309,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1
310,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1
311,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
312,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
313,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
314,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
315,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1
316,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1
317,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1
318,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1
319,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
320,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
321,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
322,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
323,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
324,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
325,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
326,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
327,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
328,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
329,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
330,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
331,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
332,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1
333,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
334,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
335,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
336,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
337,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
338,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
339,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1
340,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
341,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
342,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
343,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1
344,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
345,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
